addr_count,taken,total,bias
11276,0,1,0
11277,1,1,0
11294,1,1,0
11304,1,1,0
11309,1,1,0
11340,1,1,0
11177,1,1,0
11191,1,1,0
11205,1,1,0
11235,1,1,0
11428,0,1,0
11429,1,1,0
11430,1,1,0
11531,0,360,0
11532,0,360,0
11533,360,360,0
11568,45,45,0
11639,0,45,0
11640,45,45,0
11641,1,45,0
11534,404,404,0
11562,45,404,1
11563,360,360,0
11297,1,1,0
11298,0,1,0
11299,1,1,0
11300,0,1,0
11301,1,1,0
11302,0,1,0
11303,1,1,0
11342,192,192,0
11343,192,192,0
11359,9,9,0
11360,9,9,0
11748,1,1,0
11749,63,64,0
11750,1,1,0
11760,1,1,0
11751,1,1,0
11752,1,1,0
11753,1,1,0
11754,1,1,0
11755,1,1,0
11757,64,64,0
11758,1,64,0
11756,64,64,0
11759,1,1,0
11795,1,2,1
11797,2,2,0
11798,2,2,0
11796,1,1,0
11799,2,2,0
11800,2,2,0
11801,30,32,1
11802,2,2,0
11803,2,2,0
11804,32,32,0
11805,30,32,1
11806,0,2,0
11807,38,38,0
11808,36,38,1
11809,2,2,0
11774,1,1,0
11775,1,1,0
11776,1,1,0
11777,1,1,0
11779,1,1,0
11780,1,1,0
11781,1,1,0
11782,1,1,0
11783,0,1,0
11784,1,1,0
11785,1,1,0
11786,1,1,0
11787,0,1,0
11788,1,1,0
11778,1,1,0
11341,1,1,0
11344,1,1,0
11345,1,1,0
11365,0,1,0
11366,1,1,0
11346,1,1,0
11347,1,1,0
11348,1,1,0
11349,1,1,0
11350,1,1,0
11351,1,1,0
11352,1,1,0
11353,1,1,0
11354,1,1,0
11355,1,1,0
11356,1,1,0
11357,1,1,0
11358,1,1,0
11361,1,1,0
11362,1,1,0
11363,1,1,0
11364,1,1,0
11746,0,1,0
11747,1,1,0
11761,0,1,0
11762,0,1,0
11763,1,1,0
11773,1,1,0
11770,1,1,0
11764,1,1,0
11765,0,1,0
11766,1,1,0
11769,1,1,0
11767,0,1,0
11768,1,1,0
11772,1,1,0
11771,1,1,0
11790,0,1,0
11791,0,1,0
11792,0,1,0
11793,1,1,0
11811,1,1,0
11814,0,1,0
11815,1,1,0
11816,1,1,0
11817,1,1,0
11818,1,1,0
11819,1,1,0
11820,0,1,0
11821,1,1,0
11824,0,1,0
11825,0,1,0
11826,1,1,0
11827,1,1,0
11822,1,1,0
11823,1,1,0
11828,1,1,0
11829,1,1,0
11830,0,1,0
11831,1,1,0
11812,1,1,0
11813,1,1,0
11794,1,1,0
11810,1,1,0
11307,1,1,0
11308,1,1,0
11663,1,1,0
11702,0,1,0
11703,1,1,0
11705,1,1,0
11704,1,1,0
11377,1,1,0
11378,1,1,0
11379,1,1,0
11371,1,1,0
11372,1,1,0
11373,0,1,0
11374,1,1,0
11375,1,1,0
11368,0,2,0
11369,1,2,1
11708,1,1,0
11432,2,2,0
11433,2,2,0
11709,0,1,0
11710,1,1,0
11741,1,1,0
11744,0,1,0
11745,1,1,0
11789,1,1,0
11832,1,1,0
11370,1,1,0
11376,1,1,0
11380,0,1,0
11381,1,1,0
11383,1,1,0
11385,1,1,0
11388,1,1,0
11403,1,1,0
11420,1,1,0
11427,1,1,0
11431,1,1,0
11145,1,1,0
11140,1,1,0
11141,1,1,0
11150,1,1,0
11152,1,1,0
11153,1,1,0
11154,1,1,0
11155,0,1,0
11156,1,1,0
11159,0,1,0
11160,0,1,0
11161,1,1,0
11162,1,1,0
11166,1,1,0
11167,1,1,0
11168,1,1,0
11169,0,1,0
11170,1,1,0
11171,1,1,0
11174,1,1,0
11172,0,1,0
11173,1,1,0
11175,1,1,0
11157,0,1,0
11158,1,1,0
11142,1,1,0
11146,0,1,0
11147,0,1,0
11148,0,1,0
11149,1,1,0
11151,1,1,0
11005,2,2,0
11009,2,2,0
11024,4,4,0
11025,4,4,0
11021,4,4,0
11026,60,64,1
11027,4,4,0
11028,4,4,0
11031,4,4,0
11034,4,4,0
10999,4,4,0
11000,4,4,0
11001,2,4,1
11011,4,4,0
11014,256,256,0
11012,0,256,0
11013,256,256,0
11015,252,256,0
11016,4,4,0
11002,2,2,0
11010,2,2,0
10996,2,2,0
11017,2,2,0
10989,0,2,0
10990,0,2,0
10991,0,2,0
10992,2,2,0
10986,2,2,0
10993,2,2,0
11052,1,1,0
11053,0,1,0
11054,1,1,0
11055,1,1,0
11047,0,1,0
11048,1,1,0
11049,1,1,0
10980,1,1,0
10981,0,1,0
10982,1,1,0
10983,1,1,0
11018,1,1,0
11042,15,16,1
11043,1,1,0
11044,1,1,0
11019,0,1,0
11020,1,1,0
11035,0,1,0
11036,1,1,0
11037,0,1,0
11038,1,1,0
11039,0,1,0
11040,1,1,0
11041,1,1,0
11386,1,1,0
11387,1,1,0
11535,45,405,1
11536,0,360,0
11537,360,360,0
11543,359,360,0
11649,0,1,0
11650,1,1,0
11651,1,1,0
11544,0,359,0
11545,360,360,0
11559,1,360,0
11560,0,359,0
11561,404,404,0
11208,1,1,0
11209,1,1,0
11210,0,1,0
11211,0,1,0
11212,1,1,0
11233,0,1,0
11234,1,1,0
11384,1,1,0
11546,0,360,0
11547,360,360,0
11557,0,360,0
11558,360,360,0
11548,360,360,0
11555,360,360,0
11556,360,360,0
11194,1,1,0
11195,1,1,0
11196,0,1,0
11197,1,1,0
11202,1,1,0
11198,0,1,0
11199,1,1,0
11203,1,1,0
11204,1,1,0
11200,1,1,0
11201,1,1,0
11128,1,1,0
10777,1,1,0
11165,5,5,0
11286,2,2,0
11551,0,360,0
11552,360,360,0
11553,0,360,0
11554,360,360,0
10810,28,28,0
10811,28,28,0
10812,28,28,0
10813,2,28,1
11006,1,26,0
11007,25,25,0
11131,0,1,0
10815,3,3,0
10816,3,3,0
10819,0,28,0
10820,28,28,0
10817,2,3,1
11132,1,1,0
10818,2,2,0
10814,2,2,0
11008,25,25,0
11289,1,1,0
11290,1,1,0
11291,1,1,0
11571,120,120,0
11574,0,120,0
11575,120,120,0
11576,75,120,1
11577,45,45,0
11579,45,45,0
11608,75,75,0
11580,120,120,0
11578,45,45,0
11572,0,120,0
11573,120,120,0
11218,3,3,0
11219,3,3,0
11220,3,3,0
11221,3,3,0
11225,3,3,0
11228,3,3,0
11226,0,3,0
11227,3,3,0
11329,1,1,0
11330,1,1,0
11331,0,1,0
11332,1,1,0
11333,0,1,0
11334,44,45,0
11335,0,1,0
11336,1,1,0
11213,2,2,0
11214,2,2,0
11215,2,2,0
11216,0,2,0
11217,2,2,0
11229,0,2,0
11230,7,9,1
11231,0,2,0
11232,2,2,0
11310,1,1,0
11312,1,1,0
11313,0,1,0
11314,1,1,0
11315,0,1,0
11316,1,1,0
11339,1,1,0
11317,1,1,0
11322,0,1,0
11323,0,1,0
11324,1,1,0
11325,1,1,0
11338,1,1,0
11326,0,1,0
11327,0,1,0
11328,1,1,0
11337,1,1,0
11311,1,1,0
10791,1,1,0
10795,1,1,0
10801,0,1,0
10802,1,1,0
10805,1,1,0
10806,0,1,0
10807,1,1,0
10798,4,4,0
11224,3,3,0
11320,1,1,0
11321,1,1,0
10794,1,1,0
11246,1,1,0
11247,1,1,0
11248,1,1,0
11249,1,1,0
11250,1,1,0
11258,0,2,0
11259,2,2,0
11257,1,1,0
11587,3600,3600,0
11244,1,1,0
11245,1,1,0
11251,0,1,0
11252,1,1,0
11591,3600,3600,0
11262,1,1,0
11596,3600,3600,0
11406,0,2,0
11407,0,2,0
11408,0,2,0
11409,2,2,0
11842,2371,2371,0
11592,3600,7200,1
11593,3600,7200,1
11594,3600,3600,0
11843,2190,2371,1
11854,180,181,0
11855,181,181,0
11856,181,181,0
11857,181,181,0
11858,181,181,0
11859,181,181,0
11844,2366,2371,0
11869,5,5,0
11870,5,5,0
11871,5,5,0
11872,5,5,0
11873,5,5,0
11874,5,5,0
11845,2371,11966,1
11862,9595,9595,0
11863,7576,9595,1
11865,2010,2019,0
11866,2017,2019,0
11867,2009,2019,0
11868,2013,2019,0
11864,9595,9595,0
11846,127,2371,1
11847,2244,2244,0
11848,2371,2371,0
11588,10800,14400,1
11589,3600,3600,0
11597,10800,14400,1
11598,3600,3600,0
10574,1,1,0
10575,1,1,0
10585,32,32,0
11479,1,1,0
11480,1,1,0
11090,1,1,0
11091,1,1,0
10583,1,1,0
10584,1,1,0
11491,1,1,0
11492,1,1,0
11524,360,360,0
11525,1,1,0
10762,7,7,0
10763,1,1,0
11465,1,1,0
11466,1,1,0
11076,1,1,0
11077,1,1,0
10587,5,5,0
10588,1,1,0
10837,1,1,0
10838,1,1,0
11462,1,1,0
11463,1,1,0
11486,1,1,0
11487,1,1,0
10779,2,2,0
10780,1,1,0
11507,360,360,0
11508,1,1,0
10598,5,5,0
10599,1,1,0
11494,1,1,0
11495,1,1,0
10828,1,1,0
10829,1,1,0
11444,1,1,0
11445,1,1,0
11452,2,2,0
11453,1,1,0
10783,1,1,0
10784,1,1,0
10775,1,1,0
10776,1,1,0
10766,1,1,0
10767,1,1,0
11067,1,1,0
11068,1,1,0
10978,1,1,0
10979,1,1,0
10590,20,20,0
10591,1,1,0
11441,1,1,0
11442,1,1,0
11111,1,1,0
11112,1,1,0
11498,1,1,0
11499,1,1,0
11658,1,1,0
11659,1,1,0
10770,3,3,0
10771,1,1,0
11097,3,3,0
11098,1,1,0
11061,7,7,0
11062,1,1,0
10577,1,1,0
10578,1,1,0
10576,1,1,0
11130,1,1,0
11133,1,1,0
10756,0,1,0
10757,0,1,0
10758,0,1,0
10759,0,1,0
10760,0,1,0
10761,1,1,0
10764,1,1,0
10765,1,1,0
10768,1,1,0
10769,1,1,0
10772,1,1,0
10773,1,1,0
10774,1,1,0
10778,1,1,0
10781,0,1,0
10782,1,1,0
10809,1,1,0
10821,0,1,0
10822,1,1,0
10823,0,1,0
10824,0,1,0
10825,0,1,0
10826,1,1,0
10977,1,1,0
11056,0,1,0
11057,0,1,0
11058,0,1,0
11059,1,1,0
11060,1,1,0
11063,1,1,0
11064,1,1,0
11065,1,1,0
11079,1,1,0
11080,0,1,0
11081,1,1,0
11086,0,1,0
11087,1,1,0
11088,1,1,0
11089,1,1,0
11092,1,1,0
11093,1,1,0
11094,1,1,0
11095,1,1,0
11100,1,1,0
11105,1,1,0
11106,0,1,0
11107,9,10,1
11108,1,1,0
11109,1,1,0
11110,1,1,0
11435,1,1,0
11436,1,1,0
11437,0,1,0
11438,1,1,0
11439,0,1,0
11440,1,1,0
11443,1,1,0
11451,1,1,0
11459,0,1,0
11460,1,1,0
11485,1,1,0
11488,1,1,0
11489,1,1,0
11461,1,1,0
11464,1,1,0
11467,1,1,0
11468,0,1,0
11469,1,1,0
11470,0,1,0
11471,1,1,0
11472,1,1,0
11476,1,1,0
11477,0,1,0
11478,1,1,0
11484,1,1,0
11473,1,1,0
11474,0,1,0
11475,1,1,0
11490,1,1,0
11493,1,1,0
11496,0,1,0
11497,1,1,0
11500,1,1,0
11501,0,1,0
11502,0,1,0
11503,0,1,0
11504,1,1,0
11656,0,1,0
11657,1,1,0
10827,1,1,0
10835,0,1,0
10836,1,1,0
10975,0,1,0
10976,1,1,0
11066,1,1,0
11075,1,1,0
11078,1,1,0
11101,1,1,0
11102,1,1,0
11096,1,1,0
11099,1,1,0
11082,0,1,0
11083,0,1,0
11084,0,1,0
11085,1,1,0
11655,1,1,0
11505,0,1,0
11506,360,360,0
11519,0,360,0
11520,0,360,0
11521,221693,230400,0
11642,1517,8707,1
11522,230040,230400,0
11523,360,360,0
11566,360,360,0
11567,359,360,0
11654,1,1,0
11103,1,1,0
11104,1,1,0
10582,1,1,0
10586,1,1,0
10589,1,1,0
10592,1,1,0
10595,1,1,0
10596,1,1,0
10597,1,1,0
10600,1,1,0
10601,1,1,0
10602,1,1,0
10605,1,1,0
10606,1,1,0
10607,1,1,0
10608,1,1,0
10609,1,1,0
10610,1,1,0
10613,1,1,0
10614,1,1,0
10615,1,1,0
10616,1,1,0
10617,1,1,0
10618,1,1,0
10621,1,1,0
10622,1,1,0
10623,1,1,0
10624,1,1,0
10625,1,1,0
10626,0,1,0
10627,1,1,0
10628,1,1,0
10629,1,1,0
10630,1,1,0
10631,0,1,0
10632,1,1,0
10619,1,1,0
10620,1,1,0
10603,1,1,0
10604,1,1,0
10593,1,1,0
10594,1,1,0
10611,1,1,0
10612,1,1,0
5812,1,1,0
5813,1,1,0
6538,72,72,0
8515,2,2,0
8516,1,1,0
9311,360,360,0
9312,1,1,0
7839,1,1,0
7840,1,1,0
8405,10,10,0
8406,1,1,0
8447,9,9,0
